[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Tag[ app_begin ] --START--
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.015625s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 149 行.
[ 2015-09-23T20:56:08+08:00 ] /admin.php | NOTIC: [8192] mysql_escape_string(): This function is deprecated; use mysql_real_escape_string() instead. DbMysql.class.php 第 409 行.
[ 2015-09-23T20:56:08+08:00 ] /admin.php | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.015625s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.015625s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 154 行.
[ 2015-09-23T20:56:08+08:00 ] /admin.php | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'index' ) LIMIT 1   [ RunTime:0.015625s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | NOTIC: [8] Use of undefined constant url - assumed 'url' CommonAction.class.php 第 138 行.
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Tag[ view_template ] --START--
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Tag[ view_parse ] --START--
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.031250s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031250s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Tag[ view_filter ] --START--
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.015625s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015625s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Tag[ view_end ] --START--
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2015-09-23T20:56:08+08:00 ] /admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2015-09-23T20:56:09+08:00 ] /admin.php/index/top | INFO: Tag[ route_check ] --START--
[ 2015-09-23T20:56:09+08:00 ] /admin.php/index/top | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2015-09-23T20:56:09+08:00 ] /admin.php/index/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2015-09-23T20:56:09+08:00 ] /admin.php/index/top | INFO: Tag[ app_begin ] --START--
[ 2015-09-23T20:56:09+08:00 ] /admin.php/index/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-23T20:56:09+08:00 ] /admin.php/index/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2015-09-23T20:56:09+08:00 ] /admin.php/index/top | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 149 行.
[ 2015-09-23T20:56:09+08:00 ] /admin.php/index/top | NOTIC: [8192] mysql_escape_string(): This function is deprecated; use mysql_real_escape_string() instead. DbMysql.class.php 第 409 行.
[ 2015-09-23T20:56:09+08:00 ] /admin.php/index/top | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-23T20:56:09+08:00 ] /admin.php/index/top | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.000000s ]
