[ 2015-09-24T21:19:46+08:00 ] /admin.php/Common/login | INFO: Tag[ route_check ] --START--
[ 2015-09-24T21:19:46+08:00 ] /admin.php/Common/login | INFO: Run CheckRoute Behavior [ RunTime:0.062500s ]
[ 2015-09-24T21:19:46+08:00 ] /admin.php/Common/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.062500s ]
[ 2015-09-24T21:19:46+08:00 ] /admin.php/Common/login | INFO: Tag[ app_begin ] --START--
[ 2015-09-24T21:19:46+08:00 ] /admin.php/Common/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-09-24T21:19:46+08:00 ] /admin.php/Common/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.078125s ]
[ 2015-09-24T21:19:46+08:00 ] /admin.php/Common/login | NOTIC: [8] Undefined index: login CommonAction.class.php 第 216 行.
[ 2015-09-24T21:19:46+08:00 ] /admin.php/Common/login | SQL: SELECT `header_img` FROM `cms_config` ORDER BY id ASC LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:46+08:00 ] /admin.php/Common/login | INFO: Tag[ view_template ] --START--
[ 2015-09-24T21:19:46+08:00 ] /admin.php/Common/login | INFO: Run LocationTemplate Behavior [ RunTime:0.031250s ]
[ 2015-09-24T21:19:46+08:00 ] /admin.php/Common/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.031250s ]
[ 2015-09-24T21:19:46+08:00 ] /admin.php/Common/login | INFO: Tag[ view_parse ] --START--
[ 2015-09-24T21:19:46+08:00 ] /admin.php/Common/login | INFO: Run ParseTemplate Behavior [ RunTime:0.218750s ]
[ 2015-09-24T21:19:46+08:00 ] /admin.php/Common/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.218750s ]
[ 2015-09-24T21:19:46+08:00 ] /admin.php/Common/login | INFO: Tag[ view_filter ] --START--
[ 2015-09-24T21:19:46+08:00 ] /admin.php/Common/login | INFO: Run ContentReplace Behavior [ RunTime:0.031250s ]
