[ 2015-09-30T16:52:58+08:00 ] /lejing/admin.php/shop/index | INFO: Tag[ route_check ] --START--
[ 2015-09-30T16:52:58+08:00 ] /lejing/admin.php/shop/index | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2015-09-30T16:52:58+08:00 ] /lejing/admin.php/shop/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2015-09-30T16:52:58+08:00 ] /lejing/admin.php/shop/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-09-30T16:52:58+08:00 ] /lejing/admin.php/shop/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2015-09-30T16:52:58+08:00 ] /lejing/admin.php/shop/index | INFO: Tag[ app_begin ] --START--
[ 2015-09-30T16:52:58+08:00 ] /lejing/admin.php/shop/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-09-30T16:52:58+08:00 ] /lejing/admin.php/shop/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-09-30T16:52:58+08:00 ] /lejing/admin.php/shop/index | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 149 行.
[ 2015-09-30T16:52:58+08:00 ] /lejing/admin.php/shop/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-09-30T16:52:58+08:00 ] /lejing/admin.php/shop/index | SQL: SHOW COLUMNS FROM `cms_admin_menu` [ RunTime:0.004001s ]
[ 2015-09-30T16:52:58+08:00 ] /lejing/admin.php/shop/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-09-30T16:52:58+08:00 ] /lejing/admin.php/shop/index | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Shop' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2015-09-30T16:52:58+08:00 ] /lejing/admin.php/shop/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-09-30T16:52:58+08:00 ] /lejing/admin.php/shop/index | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = '229' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2015-09-30T16:52:58+08:00 ] /lejing/admin.php/shop/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
