[ 2015-11-11T12:10:49+08:00 ] /lejing/admin.php/sellfee/sellfee_list | INFO: Tag[ route_check ] --START--
[ 2015-11-11T12:10:49+08:00 ] /lejing/admin.php/sellfee/sellfee_list | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2015-11-11T12:10:49+08:00 ] /lejing/admin.php/sellfee/sellfee_list | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2015-11-11T12:10:49+08:00 ] /lejing/admin.php/sellfee/sellfee_list | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-11-11T12:10:49+08:00 ] /lejing/admin.php/sellfee/sellfee_list | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2015-11-11T12:10:49+08:00 ] /lejing/admin.php/sellfee/sellfee_list | INFO: Tag[ app_begin ] --START--
[ 2015-11-11T12:10:49+08:00 ] /lejing/admin.php/sellfee/sellfee_list | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2015-11-11T12:10:49+08:00 ] /lejing/admin.php/sellfee/sellfee_list | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2015-11-11T12:10:49+08:00 ] /lejing/admin.php/sellfee/sellfee_list | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-11-11T12:10:50+08:00 ] /lejing/admin.php/sellfee/sellfee_list | SQL: SHOW COLUMNS FROM `cms_admin_menu` [ RunTime:0.006001s ]
[ 2015-11-11T12:10:50+08:00 ] /lejing/admin.php/sellfee/sellfee_list | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
