[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | INFO: Tag[ route_check ] --START--
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.001001s ]
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001001s ]
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | INFO: Tag[ app_begin ] --START--
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | INFO: Tag[ view_template ] --START--
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | INFO: Tag[ view_parse ] --START--
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-16T10:46:11+08:00 ] /lejing/index.php/index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
